type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.276370000,8.885040000,573.1,-4.5,5.275,5.94,,
T,48.276370000,8.884990000,573.0,-3.6,5.279,3.71,,
T,48.276360000,8.884940000,573.0,0.5,5.283,3.87,,
T,48.276340000,8.884870000,573.1,1.1,5.288,5.65,,
T,48.276340000,8.884870000,573.1,,5.288,0.00,,
T,48.276310000,8.884840000,573.2,2.0,5.292,4.01,,
T,48.276290000,8.884820000,573.2,2.5,5.295,2.67,,
T,48.276260000,8.884810000,573.3,2.5,5.298,3.42,,
T,48.276100000,8.884750000,573.8,2.8,5.317,18.34,,
T,48.276050000,8.884730000,573.5,-5.0,5.323,5.75,,
T,48.275990000,8.884700000,573.0,-7.0,5.330,7.03,,
T,48.275960000,8.884690000,572.8,-7.4,5.333,3.42,,
T,48.275890000,8.884650000,572.1,-7.8,5.341,8.33,,
T,48.275780000,8.884570000,571.0,-8.6,5.355,13.60,,
T,48.275500000,8.884380000,568.4,-7.6,5.389,34.18,,
T,48.275450000,8.884290000,567.7,-7.9,5.398,8.69,,
T,48.275420000,8.884220000,567.2,-7.6,5.404,6.17,,
T,48.275380000,8.884110000,566.7,-5.2,5.413,9.30,,
T,48.275330000,8.883930000,566.4,-2.5,5.428,14.47,,
T,48.275290000,8.883780000,566.1,-2.5,5.440,11.99,,
T,48.275220000,8.883540000,566.2,0.5,5.459,19.44,,
T,48.275170000,8.883280000,565.7,-2.3,5.479,20.08,,
T,48.275090000,8.882910000,565.2,-1.9,5.508,28.87,,
T,48.275050000,8.882720000,564.4,-4.8,5.523,14.79,,
