type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.013560000,8.312950000,105.8,2.1,9.037,39.73,,
T,49.013610000,8.312650000,106.0,0.8,9.060,22.64,,
T,49.013660000,8.312280000,106.0,0.1,9.087,27.63,,
T,49.013680000,8.311690000,105.0,-2.4,9.130,43.22,,
T,49.013720000,8.311360000,104.4,-2.5,9.155,24.55,,
T,49.013720000,8.311360000,104.4,,9.155,0.00,,
T,49.013810000,8.311380000,104.7,3.2,9.165,10.12,,
T,49.013830000,8.311380000,104.8,3.2,9.167,2.22,,
T,49.013850000,8.311380000,104.9,3.2,9.170,2.22,,
T,49.013860000,8.311390000,104.9,2.7,9.171,1.33,,
T,49.013880000,8.311390000,105.0,3.2,9.173,2.22,,
T,49.013900000,8.311390000,105.0,-0.4,9.175,2.22,,
